Title,Actors,Director
Master P,Roger Michell,Steel Magnolias
Norm MacDonald,Sam Mendes,When Harry Met Sally...
DMX,Rob Minkoff,The Abyss
Jerry Springer,Daniel Myrick,Field of Dreams
Howie Long,Paul Weitz,Uncle Buck
Trey Parker,Brian Helgeland,Always
Bokeem Woodbine,Robert Iscove,National Lampoon's Christmas Vacation
Ian McKellen,Mike Mitchell,Turner & Hooch
Fernanda Montenegro,Trey Parker,Tango & Cash
Natasha Lyonne,Roger Kumble,Harlem Nights
Malik Yoba,Gil Junger,Pet Sematary
Greg Mottola,William Malone,Star Trek V: The Final Frontier
Amy Brenneman,Gary Sinyor,Major League
Brenda Blethyn,Malcolm D. Lee,The 'Burbs
Catherine McCormack,Kinka Usher,See No Evil
Steve Van Wormer,John Bruno,Three Fugitives
Minnie Driver,Bruce McCulloch,Bill & Ted's Excellent Adventure
Hope Davis,David Clark,Fletch Lives
Chloë Sevigny,Rick Famuyiwa,The Karate Kid Part III
Jane Adams,Brad Bird,The Fly II
Gerard McSorley,Spike Jonze,Do the Right Thing
Sean Hayes,John Schultz,Lean on Me
Radha Mitchell,Tim Hill,Weekend at Bernie's
Ulrich Thomsen,Rand Ravich,Road House
Shane Dorian,Maurice Joyce,The Dream Team
Geraldine Chaplin,Josef Rusnak,Dad
Brendan Gleeson,Jon Long,All Dogs Go to Heaven
Stephen Russell,Michael Rymer,Glory
Jacqueline Lovell,Scott Silver,Sex
Saul Williams,Robert Marcarelli,A Nightmare on Elm Street 5: The Dream Child
Kirsten Dunst,Hugh Johnson,Lock Up
Billy Crudup,Gary Halvorson,Cousins
Kevin Gage,Chris Roberts,Say Anything...
Claire Danes,Kimberly Peirce,An Innocent Man
Breckin Meyer,Mic Rodgers,Skin Deep
Nick Broomfield,Howard Hall,Blaze
Liza Weil,Michael Patrick Jann,Her Alibi
Joseph Cross,Damon Santostefano,Casualties of War
Samy Naceri,Louis Morneau,Prancer
Rafael Sebastián Guillén Vicente,David Raynr,The Fabulous Baker Boys
Melanie Comerford,Kevin Williamson,Crimes and Misdemeanors
Lauren Holly,Peter Ho-Sun Chan,Shocker
Scott 'Carrot Top' Thompson,Risa Bramon Garcia,Chances Are
Bradley Lavelle,Dave Meyers,No Holds Barred
Robert Loggia,Craig Bolotin,Next of Kin
Jeffrey Falcon,Peter Kassovitz,Leviathan
Christian Clavier,David Douglas,She-Devil
Dennis Potter,Tony Goldwyn,My Left Foot
Bobby Darin,Mark Tarlov,Kickboxer
Jack Burns,Bojesse Christopher,Friday the 13th Part VIII: Jason Takes Manhattan
Jude Law,Pierre Falardeau,The Wizard
Kathleen Fee,Darren Stein,Great Balls of Fire!
Daphne,Jeff Franklin,Family Business
BD Wong,Kevin Brodie,Pink Cadillac
Sam Rockwell,Jim Fall,She's Out of Control
Polly Walker,Barry W. Blaustein,Halloween 5: The Revenge of Michael Myers
Nathan A. Barbour,Mike Slee,Gross Anatomy
Kevin Bradley,Tony Bui,Police Academy 6: City Under Siege
Robyn Hitchcock,Subhash Ghai,Who's Harry Crumb?
James Quattrochi,Anne Wheeler,New York Stories
David Beard,Julie Taymor,The Package
Stephen Spinella,Antonio Banderas,We're No Angels
Campbell Scott,Sooraj R. Barjatya,Cyborg
Rodger Kamenetz,Mark Illsley,Henry V
William Sadler,Catherine Breillat,Tap
Brian Blessed,Claude Zidi,Renegades
Heather Donahue,Gavin O'Connor,Scandal
Jason Biggs,Chris Smith,True Believer
Freddie Prinze Jr.,Sanjay Leela Bhansali,Troop Beverly Hills
Rob Schneider,Michael Polish,Cheetah
Tobey Maguire,Jeffrey Schwarz,DeepStar Six
Sarah Michelle Gellar,Denise Filiatrault,Dead Bang
Cecilia Roth,Michael Cristofer,Dead Calm
Rab Affleck,Abbas Alibhai Burmawalla,Enemies
James Van Der Beek,Audrey Wells,Disorganized Crime
Heath Ledger,Scott Elliott,Roger & Me
Pat Healy,Jake Scott,Johnny Handsome
Stuart Pankin,Sunny Deol,Relentless
Christopher Lloyd,Roko Belic,Shag
Geoffrey Blake,Hampton Fancher,Music Box
Jake Gyllenhaal,Rich Cowan,UHF
Taye Diggs,Chuck Workman,Shirley Valentine
Hank Azaria,Jean Becker,Immediate Family
Bud Cort,Veeru Devgan,Millennium
Molly Shannon,Kevin Alyn Elders,Dream a Little Dream
Juliette Lewis,John Mathew Matthan,Second Sight
Elayn J. Taylor,Prakash Jha,Let It Ride
John Boyle,Jean-Pierre Dardenne,See You in the Morning
Octavio Calderon,Tim Roth,Drugstore Cowboy
Melissa Joan Hart,Sohail Khan,The January Man
Dave Goelz,Firoz Irani,The Mighty Quinn
Zachary David Cope,André van Heerden,Staying Together
Thomas McHugh,Martha Fiennes,Listen to Me
Craig Bierko,Ram Gopal Varma,Loverboy
Peter Vaughan,K.C. Bokadia,The Phantom of the Opera
Emily Bergl,Anjelica Huston,A Dry White Season
Lynn Hill,Shrabani Deodhar,Worth Winning
Annette Bening,François Bouvier,Old Gringo
Cuba Gooding Jr.,Jean-Philippe Duval,Fat Man and Little Boy
Kevin Clash,David Dhawan,Physical Evidence
Hilary Swank,Steven Rush,In Country
Ron Livingston,Richard Cummings Jr.,Kinjite: Forbidden Subjects
Deon Richmond,John Asher,Rude Awakening
Shawn Hatosy,Mahesh Manjrekar,Cannonball Fever
Ben Affleck,Nick Hurran,Gleaming the Cube
David Spade,Mehul Kumar,Farewell to the King
Allan Corduner,Frank Whaley,Sing
Eddie Griffin,Sandy Tung,Scenes from the Class Struggle in Beverly Hills
Usher Raymond,Ahathian,Jacknife
Siegfried Fischbacher,Umesh Mehra,Rooftops
Robbie Robertson,Nanette Burstein,Winter People
Hannah Taylor Gordon,Lateef Binny,Erik the Viking
Bobby Boriello,Adam Abraham,Communion
Loren Dean,George Haas,Breaking In
Giuseppe Andrews,Jeff Goldsmith,Cookie
Devon Sawa,Mike Barker,Miss Firecracker
Matthew Pidgeon,Bradley Battersby,Bloodfist
Adrien Brody,Aleksandr Surin,The Horror Show
Julien Poulin,Eric Styles,Best of the Best
Terence Stamp,Donal Lardner Ward,How I Got Into College
Rose McGowan,Tony Shyu,Stepfather II
French Stewart,Paola di Florio,True Love
Jack Warden,Eric Weber,Romero
Michael Laskin,Michael A. Nickles,Babar: The Movie
Tori Spelling,Djamel Bensalah,Queen of Hearts
Guy Pearce,Richard Shepard,Valmont
Barry W. Blaustein,Richard Friedman,Heathers
Andre Braugher,Vince Offer,Heart of Dixie
Ngoc Hiep Nguyen,Mateo Gil,Wired
Akshaye Khanna,Eric Leighton,Welcome Home
Wendy Crewson,McG,Getting It Right
Osheen Jones,Peter Lord,American Ninja 3: Blood Hunt
Mohnish Bahl,Todd Phillips,Parents
Jeremy Northam,David McNally,Crack House
Kate Winslet,James Wong,The Terror Within
Caroline Ducey,Stephen Daldry,Little Monsters
Janet McTeer,Tarsem Singh,The Toxic Avenger Part II
Mark Borchardt,Stig Bergqvist,For All Mankind
Jon Tenney,Tom Dey,Eddie and the Cruisers II: Eddie Lives!
Aishwarya Rai Bachchan,Jun Falkenstein,Slaves of New York
Mark Polish,Andrzej Bartkowiak,The Rainbow
Bob Burns,Joan Chen,How to Get Ahead in Advertising
Jean-Guy Bouchard,Peyton Reed,Triumph of the Spirit
Joe Basile,Guy Ritchie,The Toxic Avenger Part III: The Last Temptation of Toxie
Doug Preis,Bibo Bergeron,Night Game
Sarah Polley,Danny Leiner,Out Cold
Sofia Polanska,Chris Koch,Powwow Highway
Fred A. Leuchter Jr.,Gérard Krawczyk,Kill Me Again
Sunny Deol,Edward Norton,Heavy Petting
Richard Feynman,Steve Carr,A Chorus of Disapproval
Owen Wilson,Don Roos,The Rachel Papers
Jacques Villeret,Joe Charbanic,The Return of Swamp Thing
Amitabh Bachchan,Patrick Lussier,Beverly Hills Brats
Dennis Rodman,Matt Williams,The Experts
Aamir Khan,John Ottman,Night Visitor
Ajay Devgn,Bonnie Hunt,The Big Picture
Émilie Dequenne,Courtney Solomon,Race for Glory
Annabelle Apsion,Antony Hoffman,Signs of Life
Salman Khan,Janusz Kaminski,Mind Games
Philip Williams,Ben Younger,After Midnight
Kajol,Uli Edel,Bert Rigby
Jade Gordon,Gina Prince-Bythewood,When the Whales Came
Urmila Matondkar,Keith Melton,Ten Little Indians
Karisma Kapoor,Nigel Cole,Fear
Joël Dalpé-Drapeau,Kris Isacsson,Bloodhounds of Broadway
Alexis Martin,Rod Lurie,Animal Behavior
Sanjay Dutt,Don Kempf,New Year's Day
John Kennedy Horne,Britt Allcroft,Checking Out
Mack 10,Colin Davies,Teen Witch
Rosie Perez,Mamoru Hosoda,Blood Red
Ewen Bremner,Rob Sitch,Far from Home
Laura Fraser,Lone Scherfig,High Stakes
Noah Fleiss,Douglas Aarniokoski,Hit List
Zachary Browne,Giuseppe Tornatore,Catch Me If You Can
Sanjay Kapoor,John Weiley,Ghost
Akshay Kumar,Christopher McQuarrie,Home Alone
Sam Doumit,Davis Guggenheim,Pretty Woman
Saffron Burrows,Kenneth Lonergan,Dances with Wolves
Sonali Bendre,E. Elias Merhige,Total Recall
Danny Hoch,Mark Piznarski,Back to the Future Part III
Gibson Frazier,Ed Harris,Die Hard 2
Mark A. Altman,Fina Torres,Presumed Innocent
Alessandro Nivola,DJ Pooh,Teenage Mutant Ninja Turtles
Jimmy Tuckett,Silvio Soldini,Kindergarten Cop
Aurelija Anuzhite,Doug Wolens,The Hunt for Red October
Donal Lardner Ward,Darren Aronofsky,Dick Tracy
Nadja Salerno-Sonnenberg,Scott Alexander,Days of Thunder
Robert Klein,Mira Erdevicki,Another 48 Hrs.
Robert Krantz,Terence Davies,Bird on a Wire
Jamel Debbouze,Peter M. Cohen,The Godfather: Part III
Maura Tierney,Jenniphr Goodman,Rocky V
Bryan Burke,Aditya Chopra,Edward Scissorhands
Barbara Snellenburg,Carlos Avila,Problem Child
Eduardo Noriega,Eric Blakeney,Three Men and a Little Lady
Paul Sanchez,Sally Field,Flatliners
Hugh Jackman,Richard Dutcher,Misery
Carmen Electra,Michael Almereyda,Marked for Death
Benicio Del Toro,Greg Berlanti,Predator 2
Liev Schreiber,Karyn Kusama,Arachnophobia
Alfred Molina,Gurinder Chadha,Awakenings
Piper Perabo,Robert Vince,Darkman
Gary Sinise,Robert Adetuyi,Look Who's Talking Too
Jamie Bell,Lionel Coleman,Hard to Kill
Jim Cummings,Edward Yang,Goodfellas
Jet Li,Chris Fiore,RoboCop 2
Ashton Kutcher,Rob Hardy,Pacific Heights
Shawn Driscoll,Paul Bonner,Young Guns II
Mark Addy,Jon Shear,Gremlins 2: The New Batch
Vin Diesel,Fenton Bailey,Joe Versus the Volcano
Joshua Jackson,Agnès Jaoui,Postcards from the Edge
Kurt Loder,Raymond De Felitta,The Exorcist III
Gerard Butler,Kwon-taek Im,Child's Play 2
Cate Blanchett,Henry Bromell,Mermaids
Natalie Portman,Jonathan Teplitzky,Air America
Björk,Khalid Mohamed,Green Card
Jennifer Morrison,J.P. Dutta,The Rescuers Down Under
Steve Harvey,Aziz Mirza,Internal Affairs
Giovanni Ribisi,Bahman Ghobadi,Cadillac Man
Jonathan Lipnicki,Myles Connell,Memphis Belle
Glenndon Chatman,Valerie Breiman,House Party
Amanda Schull,Virginie Despentes,Jacob's Ladder
Brendon Ryan Barrett,Mansoor Khan,Ghost Dad
Jay Brazeau,Anil Devgan,Navy Seals
Jenna Elfman,Satish Kaushik,Ernest Goes to Jail
Lara Jill Miller,Michel Jetté,My Blue Heaven
Anders W. Berthelsen,A. Muthu,Henry & June
Adrian Paul,Marc Singer,The Russia House
Monica Bellucci,Rajkumar Santoshi,The First Power
Garry Shandling,Roland Suso Richter,The Rookie
Tim Meadows,José Luis Valenzuela,The Freshman
Alex Scott,David Gordon Green,The Adventures of Ford Fairlane
Ryan Phillippe,Kamal Haasan,Quigley Down Under
Maggie Cheung,Lionel Delplanque,Madhouse
Amy Ryan,Robert Lee King,Hamlet
Chris Klein,Denis Villeneuve,Jetsons: The Movie
Penélope Cruz,Aiyana Elliott,Stella
Jodi Lyn O'Keefe,Dharmesh Darshan,Taking Care of Business
Brian Hooks,Gregory Cooke,Betsy's Wedding
Licia Maglietta,Rama Rao Tatineni,DuckTales the Movie: Treasure of the Lost Lamp
Michael Higgins,Fernando Trueba,Sibling Rivalry
Olatz López Garmendia,Aileen Ritchie,White Palace
Christine Casarsa,Jon Gunn,The Guardian
Lochlyn Munro,Lorenzo Doumani,Death Warrant
Vera Bílá,Josh Aronson,Tremors
Susan Ward,Sharon von Wietersheim,Tales from the Darkside: The Movie
Gillian Anderson,Amos Gitai,Men at Work
Amanda Peet,Sanjay Gupta,I Love You to Death
Donal Logue,Rob Epstein,Mo' Better Blues
Kristin Scott Thomas,K. Muralimohana Rao,Avalon
Jimmy Smits,Vicky Funari,The Bonfire of the Vanities
Matthew A. Brown,John A. Gallagher,Revenge
Ben Weber,Kundan Shah,Reversal of Fortune
Michelle Rodriguez,Val Lik,Mr. Destiny
Mercedes Ruehl,John Forte,Spaced Invaders
Xander Berkeley,Laurence Fishburne,Quick Change
Bernie,Deborah Hoffmann,Fire Birds
Pras Michel,Gary Burns,Wild at Heart
Nien-Jen Wu,Manoj Agrawal,Lord of the Flies
Jay Z,N. Chandra,The Grifters
Mike White,Isaac H. Eaton,Crazy People
Gary Dourdan,Jem Cohen,Bad Influence
Paschal Fowlkes,Dein Perry,Graveyard Shift
Dan Futterman,Evan Ricks,Pump Up the Volume
RuPaul,Neeraj Vora,Opportunity Knocks
Anne Alvaro,Aku Louhimies,Nuns on the Run
Michael Rispoli,Rob Walker,Narrow Margin
Ron Anderson,Craig Mazin,The Witches
Hyo-jeong Lee,John Leekley,The Two Jakes
Eloise Eonnet,Pete Docter,Miami Blues
David Wenham,Andrew Adamson,Havana
Paul Cook,J.B. Rogers,Nightbreed
Jaya Bachchan,Sharon Maguire,Ski Patrol
Jackie Shroff,Hayao Miyazaki,Cry-Baby
Ayoub Ahmadi,Alejandro Amenábar,Blue Steel
Famke Janssen,Lawrence Guterman,Funny About Love
Karen Lancaume,Baz Luhrmann,Mr. & Mrs. Bridge
Ted Levine,Robert Luketic,Alice
Rishi Kapoor,John A. Davis,Almost an Angel
Anil Kapoor,Adam Shankman,Delta Force 2: The Colombian Connection
Trey Anastasio,John Moore,Flashback
Dominic Darceuil,Hironobu Sakaguchi,Men Don't Leave
Abhishek Bachchan,Luke Greenfield,Night of the Living Dead
Oliver Korittke,Michael Herbig,Cyrano de Bergerac
Evelina Fernández,Chris Weitz,Stanley & Iris
Candace Evanofski,Christophe Gans,Leatherface: Texas Chainsaw Massacre III
Kamal Haasan,Steve Beck,Hardware
Marie Trintignant,Joel Gallen,Loose Cannons
Lauren Ambrose,Chris Nahon,Miller's Crossing
Marie-Josée Croze,Marc Forster,The Handmaid's Tale
Jack Elliott,Chuck Sheetz,The Long Walk Home
Cléo Delacruz,Todd Field,Graffiti Bridge
Arturo O'Farrill,Stephen Chow,Dark Angel
Sophia Adella Luke,Jesse Dylan,Lambada
Colin Farrell,Dennie Gordon,China Cry: A True Story
Jaime Leigh Allen,Gary Hardwick,Heart Condition
Sandra Speichert,Rob Pritts,Mountains of the Moon
Liron Levo,Caroline Link,Short Time
Julia Query,Daniel Sackheim,A Shock to the System
Ben Gazzara,Gregory Poirier,Metropolitan
Barry McEvoy,Mark Brown,Desperate Hours
Frankie Negron,Jacques Perrin,After Dark
William Ash,John Stockwell,King of New York
Eamonn Walker,Michael Tollin,Class of 1999
Sunil Shetty,Demian Lichtenstein,Body Chemistry
Mary Burton,Francine McDougall,Downtown
Joel Grey,Richard Eyre,White Hunter Black Heart
Fab Filippo,Ray Lawrence,The Nasty Girl
Juhi Chawla,Brendan Malloy,Texasville
Govinda,Mark Cowen,Vincent & Theo
Heather Graham,Tom Green,Def by Temptation
Benjamin Dickerson,Harald Zwart,Eating
Vaughan Sheffield,Christian Carion,The Sheltering Sky
Alice Amter,Nanni Moretti,The Krays
Mikko Nousiainen,Karan Johar,Dreams
John Hannah,Scott McGehee,State of Grace
Jordan Ladd,Vicente Aranda,The Forbidden Dance
Jessica Paré,Mohsen Makhmalbaf,Tune in Tomorrow...
Marc Grapey,Juan José Campanella,The Nutcracker Prince
Alan Howard,Terry Zwigoff,The Rain Killer
Rumi Hiiragi,J.S. Cardone,Brain Dead
Angelina Jolie,Julio Medem,May Fools
Haley Joel Osment,Barry Skolnick,The Haunting of Morella
Paul Walker,Michael Haneke,The Last of the Finest
Corey Burton,Brian Trenchard-Smith,Streets
Audrey Tautou,Jon Favreau,A Cry in the Wild
Josh Hartnett,Jacques Audiard,The Field
Antony Acker,Yvan Attal,Love at Large
Julia Stiles,Blair Hayes,Courage Mountain
Megan Cavanagh,Alan Cumming,Repossessed
Maggie Smith,Danis Tanovic,Daddy's Dyin'... Who's Got the Will?
Ming-Na Wen,Mitch Davis,Everybody Wins
Michael Herbig,Maria Ripoll,The Fourth War
Samuel Le Bihan,Eric Bross,The Hot Spot
Tony Shalhoub,Stanley Kwan,Bloodfist II
Chyler Leigh,John Cameron Mitchell,Slumber Party Massacre III
Gina Philips,Louis C.K.,Vital Signs
Daniel Auteuil,Rocky Costanzo,Without You I'm Nothing
Rickey D'Shon Collins,Richard Kelly,The Boyfriend School
Tom Wilkinson,David Atkins,To Sleep with Anger
Stephen Chow,Jan Sverák,Where the Heart Is
Jasper Steverlinck,Vincent Jay Miller,Hidden Agenda
Denise Richards,Jeff Daniels,Corporate Affairs
Steve Zahn,Pascale Bailly,Come See the Paradise
Jason Mewes,Dover Koshashvili,Angel Town
Daniel Giménez Cacho,Anne Fontaine,Waiting for the Light
Orlando Jones,Lee Stanley,C'est la vie
Method Man,Petter Næss,Listen Up: The Lives of Quincy Jones
Naseeruddin Shah,Michael Cuesta,Coupe de Ville
Patricia Clarkson,Ashutosh Gowariker,The Return of Superfly
Tyrese Gibson,Robert Connolly,Strike It Rich
Morris Chestnut,Santosh Sivan,Roger Corman's Frankenstein Unbound
Chris Kattan,Ariel Zeitoun,Frankenhooker
Juliane Köhler,Patrick Stettner,A Man Called Sarge
Leelee Sobieski,Henry Bean,A Show of Force
Vivica A. Fox,Émile Gaudreault,Chicago Joe and the Showgirl
Philippe Labro,Laurent Cantet,Why Me?
Naomi Watts,Alan Taylor,Fools of Fortune
John Tormey,Éric Rohmer,The Spirit of '76
Kane Hodder,Benoît Jacquot,Spontaneous Combustion
Marla Sokoloff,Piyush Dinker Pandya,Terminator 2: Judgment Day
Marcus Bentley,Julie Davis,Robin Hood: Prince of Thieves
Rachael Leigh Cook,Eric Hannah,Beauty and the Beast
Flex Alexander,Melissa Martin,Hook
James Alley Jr.,Martyn Atkins,The Silence of the Lambs
Tom Green,Éva Gárdos,JFK
Natasha Henstridge,Paddy Breathnach,The Addams Family
Monica Potter,Sandi Simcha Dubowski,Cape Fear
Michel Serrault,Claude Miller,Hot Shots!
Nanni Moretti,Neal Slavin,City Slickers
Anthony Albano,Terry L. Noss,Sleeping with the Enemy
Tilda Swinton,Tim Blake Nelson,Backdraft
Pilar López de Ayala,Richard Glatzer,Fried Green Tomatoes
Ike Ogut,Christine Lahti,Star Trek VI: The Undiscovered Country
Ricardo Darín,Ivan Rogers,Father of the Bride
Kerr Smith,Gabriel Pelletier,The Naked Gun 2½: The Smell of Fear
Snoop Dogg,Ferzan Ozpetek,Point Break
Paz Vega,Jean-Luc Godard,Dying Young
Vinnie Jones,Shôhei Imamura,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
Maria Bello,Scott J. Gill,The Prince of Tides
Marisa Paredes,Léa Pool,The Hard Way
Michael York,Lieven Debrauwer,What About Bob?
Vincent Cassel,Hsiao-Hsien Hou,The Last Boy Scout
Mariah Carey,Stavros Kazantzidis,My Girl
Charlotte Gainsbourg,Daniel Minahan,Boyz n the Hood
Alan Cumming,David Wain,Doc Hollywood
Branko Djuric,Jonas McCord,King Ralph
Christopher Gorham,Stephanie Black,Bugsy
Jacqueline Obradors,Ming-liang Tsai,New Jack City
Lance Bass,Bernard Derriman,The Rocketeer
Melissa Sagemiller,Xiaoshuai Wang,Thelma & Louise
Ye Liu,Roger Cantin,Jungle Fever
John Cameron Mitchell,Johnnie To,Regarding Henry
Penny Balfour,Bruce Weber,The Fisher King
Lance Crouther,Daniel Cross,Grand Canyon
Trevor Jack Brooks,Kenneth A. Carlson,An American Tail: Fievel Goes West
Richard Meese,Pan Nalin,Out for Justice
Mark Rylance,Majid Majidi,The Doctor
James Nesbitt,Stefan Ruzowitzky,Bill & Ted's Bogus Journey
Chelcie Ross,Jacob Kornbluth,Dead Again
Ondrej Vetchý,Bill Semans,Soapdish
Jaime Gomez,Patricio Guzmán,Freddy's Dead: The Final Nightmare
Jeanne Balibar,Rahul Rawail,White Fang
Lior Ashkenazi,Ho Yim,The Doors
Kaleil Isaza Tuzman,Abbas Kiarostami,Curly Sue
Michel Bouquet,Neal A. Corl,Problem Child 2
Carman,Edet Belzberg,The People Under the Stairs
Per Christian Ellefsen,Keith Warn,Double Impact
Paul Dano,Chris Wedge,Madonna: Truth or Dare
Shane Edelman,Rob Marshall,L.A. Story
Selma Blair,Dean DeBlois,Deceived
Châu Belle Dinh,Marc Lawrence,Class Action
Ryan Gosling,Michael Lembeck,Necessary Roughness
François Morency,Toni Myers,Other People's Money
Aurélien Recoing,Kelly Asbury,Don't Tell Mom the Babysitter's Dead
Jean-Claude Dreyfus,Christopher Nolan,Only the Lonely
Angela Gheorghiu,Robin Budd,Little Man Tate
Deep Katdare,Kevin Donovan,Pure Luck
Dan Bucatinsky,John Lee Hancock,Oscar
Dante Basco,Jeff Tremaine,For the Boys
Scarlett Johansson,Tim Story,Frankie and Johnny
Sven Wollter,Callie Khouri,Ricochet
Manisha Koirala,Laurent Bouzereau,F/X2
Richard Dutcher,Cathy Malkasian,Child's Play 3
Shlomo Ashkinazy,Charles Stone III,Mobsters
Anaïs Reboux,Tom Brady,House Party 2
Sandrine Kiberlain,Shawn Levy,Mortal Thoughts
Scott Gurney,Mark Romanek,Hudson Hawk
Rutanya Alda,Ellory Elkayem,Defending Your Life
Ivan Rogers,Louis Leterrier,Billy Bathgate
Gildor Roy,Perry Andelin Blake,Highlander II: The Quickening
Margherita Buy,François Ozon,Switch
Bruno Putzulu,Roberto Benigni,A Kiss Before Dying
Kôji Yakusho,Walt Becker,Toy Soldiers
Ron Jeremy,Bob Dolman,The Commitments
Dora van der Groen,John Polson,Once Around
Qi Shu,Jaume Balagueró,All I Want for Christmas
Ella Jones,Marcus Raboy,Not Without My Daughter
Sarah Wynter,John Stainton,Flight of the Intruder
Brooke Smith,George Clooney,Ernest Scared Stupid
Benjamin Bratt,Ed Decter,The Perfect Weapon
Belinda Becker,Fernando Meirelles,Drop Dead Fred
Kang-sheng Lee,Cédric Klapisch,The Marrying Man
Kevin Lynch,Carlos Carrera,Shattered
Lin Cui,Kevin Bray,Career Opportunities
Matthew Dupuis,Mike Nawrocki,One Good Cop
Andy Lau,Jeong-hyang Lee,V.I. Warshawski
Peter Johnson,Seth Kearsley,The Super
Eric Denis,Denzel Washington,A Rage in Harlem
Dave Irwin,Peter Kosminsky,He Said
Nicolos Kostopoulos,Jim Malone,The Butcher's Wife
Hossein Abedini,Wych Kaosayananda,Scenes from a Mall
Matt LeBlanc,Don Michael Paul,Guilty by Suspicion
Josh Kornbluth,Franc. Reyes,Body Parts
Drea de Matteo,Peter Hastings,Stone Cold
Salvador Allende,Scott Thomson,Late for Dinner
Luc Picard,Craig McCracken,The Five Heartbeats
Abbas Kiarostami,Peter Mullan,Bingo
Henry Corl,Morag Fullarton,Nothing But Trouble
Cristina Ionescu,Nicolas Philibert,Black Robe
Stacy Oliver,Tuck Tucker,If Looks Could Kill
Bruce Allpress,Mort Nathan,Strictly Business
Daniel Radcliffe,Jesse Vaughan,Harley Davidson and the Marlboro Man
Ray Romano,Joe Carnahan,Wild Hearts Can't Be Broken
Nia Vardalos,Stephen Gaghan,Rush
Daveigh Chase,Danny Pang,Suburban Commando
Eminem,Roger Avary,Defenseless
Ian Mongrain,Marc Fafard,My Own Private Idaho
Tyler Hoechlin,Luke Cresswell,Rambling Rose
Dwayne Johnson,Takashi Yamazaki,Mystery Date
Harriet Owen,Fernando León de Aranoa,Barton Fink
Roscoe Lee Browne,Aki Kaurismäki,Europa Europa
Ryan McCluskey,Steven Shainberg,Delirious
Gabriela Oltean,Andrew Lau,Livin' Large!
Alex Palmer,Patricia Cardoso,Eve of Destruction
Johnny Knoxville,Emanuele Crialese,The Object of Beauty
Parminder Nagra,Danièle Thompson,True Identity
Jim Caviezel,Burr Steers,The Hitman
Steven Spielberg,Charles Binamé,Dutch
Lillian Adams,Gaspar Noé,Run
Sam Spruell,Dewey Nicks,Hear My Song
Shad Moss,Aleksandr Sokurov,Popcorn
Britney Spears,Philippe Muyl,Life Stinks
Lacey Chabert,Daniel Algrant,Impromptu
Nick Cannon,Takeshi Kitano,Mannequin: On the Move
Salma Hayek,Kurt Wimmer,My Heroes Have Always Been Cowboys
Frankie Muniz,Laetitia Colombani,Shout
Kate Bosworth,John Malkovich,Homicide
Shane West,Bruce Hendricks,Another You
Aaliyah,Claude Berri,The Man in the Moon
Jason Statham,Paul Gross,Return to the Blue Lagoon
Colin Hanks,Anthony Russo,Straight Out of Brooklyn
Virginie Ledoyen,Brad Fraser,Naked Lunch
Ryan Reynolds,Raja Amari,Showdown in Little Tokyo
Steve Irwin,Gary Winick,29th Street
Dick Clark,Christian Charles,The Double Life of Véronique
DJ Qualls,Paul Justman,Madame Bovary
Alexandre Rodrigues,Abdul Malik Abbott,Prospero's Books
Wes Bentley,Deepa Mehta,High Heels
Romain Duris,Scott Roberts,Company Business
Gael García Bernal,Peter Care,At Play in the Fields of the Lord
Phil Vischer,Dylan Kidd,City of Hope
Eul-boon Kim,Susanne Bier,Hearts of Darkness: A Filmmaker's Apocalypse
Jimi Mistry,Elia Suleiman,The Rapture
Derek Luke,Hank Whetstone,Kickboxer 2: The Road Back
Amy Aquino,Kei Kumai,Cool as Ice
Rica Matsumoto,Jon Purdy,Year of the Gun
Alexis Bledel,Keith Fulton,The Unborn
David Blocker,Rich Christiano,Kafka
Rebecca Romijn,Youssef Chahine,Whore
Laura Regan,Kurt Hale,Meeting Venus
Cathy Cavadini,Carlos Sorin,Talkin' Dirty After Dark
Geraldine McEwan,Pavel Lungin,The Taking of Beverly Hills
Everlyn Sampi,D.J. Caruso,Beastmaster 2: Through the Portal of Time
Sarah Lancashire,Lorene Machado,The Miracle
Georges Lopez,Mario Azzopardi,Until the End of the World
Spencer Klein,Lukas Moodysson,Poison
Téa Leoni,Rebecca Miller,Dice Rules
Jason Lee,Adam Thomas Anderegg,Queens Logic
Chiwetel Ejiofor,Lynne Ramsay,The Pope Must Diet
Miguel A. Núñez Jr.,Fiona Mackenzie,Rich Girl
Dan Leis,Dana Janklowicz-Mann,Hangin' with the Homeboys
Barry Watson,Menno Meyjes,Rhapsody in August
Katie Holmes,Claire Denis,McBain
Angelica Lee,Shane Meadows,True Colors
Jerry Orbach,Shaad Ali,La Belle Noiseuse
Charles Bryan,Eugene Jarecki,Dogfight
Miles Crawford,Gabrielle Burton,Sweet Talker
Takeshi Kaneshiro,Arjun Sajnani,Talent for the Game
Javier Bardem,Aleksandr Rogozhkin,Closet Land
Markku Peltola,Olivier Assayas,Twenty-One
Mathieu Kassovitz,Sam Jones,Stepping Out
Jonathan Winters,Arense Kvaale,Young Soul Rebels
America Ferrera,Karim Aïnouz,The Indian Runner
Jean Rochefort,Pablo Trapero,The Ballad of the Sad Cafe
Valeria Golino,Matteo Garrone,Close My Eyes
Olga Sékulic,Jordan Brady,Liebestraum
Kieran Culkin,Anthony Abrams,The Inner Circle
