Title,Actors,Director
Tom Erhart,William Richert,The Onion Field
Kareem Abdul-Jabbar,Alvin Rakoff,The Frisco Kid
Sissy Spacek,Noel Black,Meteor
Robin Williams,Steve Carver,The Fish That Saved Pittsburgh
Chevy Chase,Otto Preminger,Bloodline
Betsy Palmer,Albert Brooks,The Prisoner of Zenda
Michael Caine,Sidney Poitier,Agatha
Neil Diamond,Jim Abrahams,Americathon
Sam J. Jones,Buddy Van Horn,Running
Anthony Hopkins,Robert Redford,Cuba
Olivia Newton-John,Robert Altman,Butch and Sundance: The Early Days
Chris Makepeace,Stanley Kubrick,Players
Adrienne Barbeau,Jay Sandrich,The Great Santini
Eddie Barth,Tommy Chong,Yanks
William Hurt,Harold Ramis,Lost and Found
Chuck Norris,Sean S. Cunningham,Hanover Street
Willie Nelson,Ron Maxwell,Voices
Cloris Leachman,Brian De Palma,Wanda Nevada
Kirk Douglas,Richard Fleischer,Sunburn
Steve McQueen,Mike Hodges,Rich Kids
John Ritter,David Lynch,Walk Proud
Gilda Radner,Robert Greenwald,Last Embrace
Leslie Nielsen,Tony Bill,Goldengirl
Don Adams,Ken Russell,The Passage
Dudley Moore,Eric Karson,Winter Kills
Kurt Russell,Buzz Kulik,City on Fire
Elliott Gould,Martin Davidson,A Man
Angela Lansbury,Buck Henry,Fast Charlie... the Moonbeam Rider
Julius Averitt,Paul Lynch,The Human Factor
Martin Mull,Clive Donner,Real Life
Christopher Reeve,Joel Oliansky,An Almost Perfect Affair
Jack Lemmon,Gary Weis,The Blues Brothers
Jackie Chan,Piers Haggard,9 to 5
Dom DeLuise,Bill Persky,Stir Crazy
Susan Saint James,Stanley Donen,Airplane!
Jodie Foster,Bob Clark,Any Which Way You Can
Lee Marvin,John G. Avildsen,Private Benjamin
Peter O'Toole,Robert Clouse,Coal Miner's Daughter
Peter Boyle,Mike Newell,Smokey and the Bandit II
Robin Altman,Anne Bancroft,The Blue Lagoon
Rory Calhoun,Robert Scheerer,Ordinary People
Marty Feldman,Adrian Lyne,Popeye
Don Scardino,Samuel Fuller,Urban Cowboy
Dyan Cannon,Richard Rush,The Shining
Jason Robards,Art Linson,Seems Like Old Times
Meat Loaf,Chuck Barris,Cheech and Chong's Next Movie
Julie Carmen,Kevin Connor,Caddyshack
Tatsuya Nakadai,Walter Bernstein,Friday the 13th
Ellen Burstyn,Marty Feldman,Brubaker
David Naughton,Armand Mastroianni,Little Darlings
Shirley MacLaine,Alan Rudolph,Dressed to Kill
Ray Sharkey,John Cassavetes,The Jazz Singer
Robert Foxworth,Akira Kurosawa,Flash Gordon
Daniel Anderson,Daniel Petrie,The Elephant Man
Treat Williams,James Caan,Bronco Billy
Alan Bates,James Goldstone,Raging Bull
Paul Simon,Andrew V. McLaglen,Xanadu
Don Most,Michael Nankin,American Gigolo
Paul Michael Glaser,Jack Smight,My Bodyguard
Phil Daniels,Taylor Hackford,The Fog
Katharine Hepburn,Mike Nichols,Fame
Nicholas Farrell,Gordon Willis,Altered States
John Cleese,Robert Kaylor,Cruising
Laurence Olivier,John Byrum,The Octagon
Mickey Rooney,Rob Cohen,Honeysuckle Rose
Bo Derek,Jerry Paris,Herbie Goes Bananas
Nigel Terry,John Huston,Rough Cut
Joe Belcher,Brian Gibson,The Final Countdown
John Belushi,Steve Gordon,The Hunter
Meryl Streep,Hugh Hudson,Hero at Large
